TOKEN	L1_PRIM	L1_SEC	L2_PRIM	L2_SEC	L3_PRIM	L3_SEC
Searolo	0	0	1	0	1	0
e	0	0	0	1	0	0
tla	0	0	0	0	0	1
tla	1	0	0	0	0	1
e	0	0	0	0	0	0
nna	0	0	0	0	0	0
tuelo	0	0	0	1	0	0
ya	0	0	0	0	0	0
yuniti	0	0	0	0	0	0
e	0	0	0	0	0	0
le	0	0	0	0	0	0
nngwe.	0	0	0	0	0	1

A	0	0	0	0	0	0
go	0	0	0	1	0	0
se	0	0	0	0	0	0
nne	0	0	0	0	0	0
le	0	0	0	0	0	0
motho	0	0	0	0	0	1
ope	0	0	0	1	1	0
yo	0	0	0	0	0	0
o	1	0	0	0	0	0
tla	0	0	0	0	0	1
tlhorontshiwang.	0	0	1	0	0	0

e	1	0	0	0	0	0
na	0	0	0	0	0	0
ke	0	0	0	0	0	0
dithata	0	0	0	1	1	0
tse	0	0	0	0	0	0
dingwe	0	0	0	1	0	0
le	0	0	0	0	0	0
ditiro	0	0	0	0	0	0
jaaka	0	0	0	1	0	1
go	0	0	0	0	0	0
beilwe.	0	0	1	0	0	0

Buisa	0	0	0	0	0	1
sekao	0	0	0	0	0	1
se	0	0	0	0	0	0
se	0	0	0	0	0	0
latelang	0	0	0	1	0	0
go	0	0	0	0	0	0
go	0	0	0	0	0	0
kgontsha	0	0	1	0	1	0
go	0	0	0	0	0	0
dira	0	0	0	1	0	0
se.	1	0	0	0	0	0

Modise	0	0	0	1	0	1
o	0	0	0	0	0	0
tsere	0	0	0	0	1	0
dibuka	0	0	1	0	0	0
di	0	0	0	0	0	0
le	0	0	0	0	0	0
pedi	0	0	0	0	0	0
mo	0	0	0	0	0	0
go	0	0	0	0	0	0
tse	1	0	0	0	0	1
tlhano	0	0	0	1	0	1
tseo.	0	0	0	1	0	0

Fa	0	0	0	0	0	0
ba	0	0	0	0	0	0
simolola	0	0	1	0	0	0
go	0	0	0	0	0	0
rua	0	0	0	0	0	0
sekgwa	0	0	0	1	0	1
seo,	0	0	0	0	0	1
se	0	0	0	0	0	0
ne	0	0	0	0	0	0
se	1	0	0	0	0	0
tletse	0	0	0	1	1	0
ditau.	0	0	0	1	0	0

o	1	0	0	1	0	0
ka	0	0	0	0	0	0
se	0	0	0	0	0	0
ele	0	0	0	0	0	0
tlhoko	0	0	0	1	0	1
gore	0	0	0	0	0	0
